Description Intelligence Speed Strength Agility Combat
BANSHEE 26 24 16 39 21
BEAST 46 21 42 39 29
BLACKWIDOW 38 23 21 32 39
BLACKWIDOW 38 23 21 32 39
BRUCEBANNER 45 11 8 7 10
CAPTAINAMERICA 20 32 42 39 41
COLOSSUS 25 15 40 18 34
CYCLOPS 33 25 28 19 30
DESTROYER 7 19 44 15 41
FALCON 32 41 26 31 35
GHOSTRIDER 22 19 36 17 42
GHOSTRIDER 22 19 36 17 42
HAVOK 24 16 19 26 32
HAWKEYE 28 34 21 28 33
IRONMAN 42 28 38 24 40
IRONMAN 42 28 38 24 40
JEANGREY 44 19 21 27 43
LOKI 39 15 17 24 30
LUKECAGE 31 20 40 18 38
LUKECAGE 31 20 40 18 38
MAGNETO 29 15 21 17 44
MAGNETO 29 15 21 17 44
MEDUSA 31 21 18 26 29
MYSTIQUE 35 16 15 26 31
MYSTIQUE 35 16 15 26 31
NOVA 21 26 37 32 36
PROFESSORX 45 14 8 7 21
REDSKULL 29 17 28 14 35
SILVERSURFER 32 41 37 29 35
SPIDERMAN 27 34 24 46 31
STORM 28 16 19 27 37
STORM 28 16 19 27 37 
THEHULK 5 17 48 19 46
THEHULK 5 17 48 19 46
THOR 23 18 39 20 43
THOR 23 18 39 20 43
TONYSTARK 42 16 11 14 10
VULTURE 16 31 19 36 24
WOLVERINE 25 17 35 38 40
WOLVERINE 25 17 35 38 40
